Date,Country,Plastic_Waste_Tons,Burned_Waste_Tons,Population_Affected
21/03/2020,Mexico,457.76,1159.15,68627
22/03/2020,India,2352.43,384.82,98761
22/03/2020,Philippines,1933.51,750.78,91584
22/03/2020,Nigeria,1674.97,1235.73,55169
23/03/2020,Mexico,1027.69,1311.81,49185
23/03/2020,China,194.82,1541.85,21036
23/03/2020,Brazil,3701.59,1608.85,30736
25/03/2020,China,1460.09,4048.85,43871
25/03/2020,Nigeria,4676.95,820.51,2819
25/03/2020,Indonesia,2182.09,2976.33,2128
26/03/2020,Indonesia,3870.29,1096.31,84051
26/03/2020,Mexico,1237.93,922.59,92614
27/03/2020,Brazil,1541.98,3441.82,50236
27/03/2020,China,1731.14,80.99,52173
27/03/2020,USA,2010.04,303.65,65543
29/03/2020,Indonesia,2171.51,3254.85,35561
29/03/2020,China,578.58,1996.57,79528
30/03/2020,Nigeria,2495.29,90.71,88384
30/03/2020,China,4150.12,983.71,37868
30/03/2020,Brazil,1052.16,1610.44,47165
30/03/2020,Brazil,3962.26,657.35,87326
31/03/2020,China,1829.19,1824.98,41640
31/03/2020,Germany,2758.6,1849.48,24736
31/03/2020,Brazil,1795.97,386.02,84534
31/03/2020,USA,740.09,1620.55,43434
02/04/2020,Mexico,1779.75,265.63,64348
02/04/2020,Indonesia,3934.17,1288.72,30487
02/04/2020,USA,3623.4,2331.06,36553
02/04/2020,Indonesia,790.79,1585.32,90030
03/04/2020,Mexico,1572.39,201.17,59196
03/04/2020,Brazil,1210.34,488.76,77864
03/04/2020,Brazil,2099.76,2826.51,66563
03/04/2020,India,1142.92,1361.8,80848
04/04/2020,USA,491.71,338.13,83369
04/04/2020,Mexico,2157.01,205.62,95865
06/04/2020,Brazil,903.27,260.13,58628
06/04/2020,Indonesia,2199.89,836.2,46198
07/04/2020,Mexico,1443.22,210.59,19511
07/04/2020,Mexico,2000.48,2332.89,9867
09/04/2020,China,2485.5,646.53,80205
09/04/2020,Philippines,3139.95,2084.56,25954
10/04/2020,China,238.86,392.55,80190
11/04/2020,Brazil,2312.7,824.14,85545
12/04/2020,Russia,2624.32,455.18,9659
12/04/2020,China,2391.98,1907.05,55990
12/04/2020,Nigeria,481.96,3404.26,52641
13/04/2020,Philippines,748.12,290.24,11684
13/04/2020,Russia,1898.5,672.84,77420
13/04/2020,Mexico,1862.12,1040.82,85489
13/04/2020,Philippines,2708.11,2662.39,65591
13/04/2020,Germany,1181.7,2398.38,4503
14/04/2020,Russia,697.6,178.94,73787
14/04/2020,Philippines,2422.3,297.42,27498
15/04/2020,Brazil,3548.96,1404.24,97960
15/04/2020,Brazil,2983.23,551.8,18110
15/04/2020,Mexico,2717.54,733.27,86249
15/04/2020,Indonesia,1755.79,564.59,74044
16/04/2020,Mexico,3217.65,778.14,51629
16/04/2020,Philippines,393.4,500.91,54109
17/04/2020,Russia,3090.61,1798.28,27932
17/04/2020,Philippines,2316.47,3071.41,38702
17/04/2020,USA,2408.29,1030.98,29890
17/04/2020,China,1331.24,182.54,44727
19/04/2020,Russia,727.22,383.99,76611
19/04/2020,Indonesia,1266.08,2506.18,56996
20/04/2020,Brazil,1028.33,4212.19,47713
21/04/2020,Indonesia,736.94,227.99,1573
21/04/2020,India,838.69,743.13,57411
22/04/2020,China,2269.19,665.85,92349
23/04/2020,Nigeria,1357.15,808.09,72923
23/04/2020,USA,1015.63,3471.57,32505
24/04/2020,Mexico,870.69,5843.33,39900
24/04/2020,Indonesia,937.67,885.56,36620
25/04/2020,Germany,4250.62,815.79,92527
25/04/2020,India,3490.34,948.1,57599
26/04/2020,Russia,3397,140.85,65223
26/04/2020,India,3446.69,340.97,13569
27/04/2020,Russia,3622.23,4042.13,69731
27/04/2020,Nigeria,1781.12,745,34583
28/04/2020,Russia,1483.93,659.28,31431
28/04/2020,Indonesia,1867.35,1123.56,65786
28/04/2020,Mexico,471.39,1597.84,84406
29/04/2020,Indonesia,1690.56,957.81,80770
30/04/2020,Mexico,4578.29,530.12,56737
30/04/2020,Russia,1728.61,879.03,44748
01/05/2020,USA,1866.35,1657.82,92063
02/05/2020,Indonesia,551.82,2318.83,68304
02/05/2020,Nigeria,1855.76,770.98,91847
02/05/2020,Indonesia,576.87,2719.71,82066
03/05/2020,Brazil,1765.96,1058.01,31801
03/05/2020,Mexico,1687.44,1454.55,9934
04/05/2020,Philippines,1506.92,67.11,88124
04/05/2020,China,131.67,1997.86,1097
04/05/2020,Philippines,2339,2431.03,77540
04/05/2020,Brazil,829.01,431.7,12729
04/05/2020,Nigeria,1257.43,958.23,10116
06/05/2020,Germany,1082.03,1249.99,6589
06/05/2020,USA,3231.16,252.18,36652
07/05/2020,Philippines,1723.87,1720.14,62120
07/05/2020,Mexico,2366.74,863.44,33773
07/05/2020,Indonesia,503.51,1861.29,717
08/05/2020,Germany,3037.88,1516.11,93749
09/05/2020,USA,2290.43,134.26,27789
09/05/2020,Mexico,992.73,3275.03,49485
10/05/2020,Indonesia,2407.3,868.17,92228
10/05/2020,USA,880.14,816.41,70005
10/05/2020,Philippines,591.97,307.8,81510
11/05/2020,Brazil,1131.38,741.19,34632
11/05/2020,Philippines,922.63,3071.58,81284
12/05/2020,Mexico,4090.11,636.72,58831
13/05/2020,India,1516.04,401.44,80034
14/05/2020,India,650.88,1304.35,35316
14/05/2020,India,1931.98,1915.1,76620
14/05/2020,USA,1683.28,885.83,5148
15/05/2020,Mexico,786.92,726.88,78417
17/05/2020,Russia,163.43,2986.76,45191
17/05/2020,Indonesia,2354.32,1722.37,46244
17/05/2020,Indonesia,2741.59,439.04,69487
18/05/2020,Philippines,5993.71,1378.9,87217
18/05/2020,Brazil,847.23,1173.94,55544
18/05/2020,Germany,1463.39,218.29,24018
19/05/2020,Nigeria,2259.41,747.19,64093
19/05/2020,Brazil,1846.12,2812.3,20779
20/05/2020,Mexico,2847.39,4044.93,93666
20/05/2020,USA,2381.64,1887.96,67396
20/05/2020,Brazil,2467.97,177.28,51155
20/05/2020,Philippines,1194.48,1441.4,36887
20/05/2020,Mexico,919.26,709.54,2577
21/05/2020,Nigeria,409.07,788.93,41656
21/05/2020,Germany,2237.74,1044.15,77047
21/05/2020,Mexico,1097.43,719.27,52363
22/05/2020,Germany,2021.76,491.52,21931
22/05/2020,Russia,2711.07,2221.39,41408
22/05/2020,Nigeria,752.3,1937.33,99050
22/05/2020,Russia,1768.71,585.64,59470
23/05/2020,Germany,2641.73,532.92,56362
25/05/2020,India,2422.93,3977.48,16284
25/05/2020,Russia,4131.49,330.03,65042
25/05/2020,China,899.97,290.25,79999
26/05/2020,Indonesia,333.58,833.68,84260
26/05/2020,Russia,2281.24,582.68,41310
27/05/2020,Philippines,2355.69,2024.79,20506
28/05/2020,Nigeria,1624.74,298.78,16567
29/05/2020,China,1767.82,1747.98,34659
29/05/2020,Indonesia,3120.52,782.14,92040
29/05/2020,Mexico,6669.37,1938.44,44310
30/05/2020,Brazil,429.94,1302.36,72315
30/05/2020,Philippines,1357.33,1293.56,77475
30/05/2020,Philippines,2270.92,1123.26,42796
31/05/2020,Indonesia,2760.58,763,43277
31/05/2020,India,2400.18,1262.66,66875
31/05/2020,Germany,4902.8,1116.45,97176
31/05/2020,Mexico,1393.52,1137.16,97231
31/05/2020,Mexico,1262.04,1420.52,46032
31/05/2020,Mexico,2175.15,1413.56,60330
02/06/2020,India,1298.5,1329.65,29880
02/06/2020,Russia,711.74,1772.8,91337
02/06/2020,Nigeria,2409.37,670.91,26379
03/06/2020,Philippines,1113.57,2265.14,22174
03/06/2020,Nigeria,2332.53,1339.58,32520
03/06/2020,China,5789.31,456.31,6582
03/06/2020,Indonesia,888.03,420.7,44031
04/06/2020,Nigeria,966.28,631.9,62767
05/06/2020,Nigeria,4878.54,759.72,56960
06/06/2020,India,6070.7,553.85,93366
06/06/2020,Nigeria,4699.33,1658.83,20636
07/06/2020,Brazil,1329.94,2287.39,97540
07/06/2020,Mexico,1589.14,562.43,63059
08/06/2020,Brazil,1527.84,1568.68,93557
08/06/2020,USA,3396.21,654.24,75216
10/06/2020,Russia,3256.01,613.84,54628
10/06/2020,China,2003.34,278.2,80162
10/06/2020,India,2267.27,1540.19,85647
10/06/2020,Germany,226.03,184.12,25171
10/06/2020,Brazil,5393.01,858.37,64073
10/06/2020,China,2269.34,728.41,47966
10/06/2020,USA,2646.76,299.2,11872
10/06/2020,Nigeria,1077.99,1581.7,85512
11/06/2020,Indonesia,2032.39,906.89,31299
12/06/2020,Germany,7298,107.77,54602
12/06/2020,Indonesia,1745.45,163.54,24153
13/06/2020,Mexico,1341.97,1330.46,72929
13/06/2020,Indonesia,2276.26,1244.9,2391
13/06/2020,India,6112.59,170.46,53902
13/06/2020,Mexico,1172.26,943.73,9837
14/06/2020,China,469.55,854.55,81505
14/06/2020,China,1373.93,423.93,99942
15/06/2020,Germany,923.05,238.4,78445
15/06/2020,Russia,4169.21,1406.83,47250
15/06/2020,Mexico,3265.01,1144.21,50016
16/06/2020,Russia,1089.97,220.91,56784
16/06/2020,India,993.57,2545.3,81205
16/06/2020,USA,1413.91,96.84,80069
16/06/2020,Germany,2895.41,906.9,34330
16/06/2020,Germany,4722.66,497.51,24222
18/06/2020,Russia,796.52,1890.48,36337
20/06/2020,Nigeria,869,749.97,87861
20/06/2020,Germany,1814.62,801.57,21431
21/06/2020,Nigeria,694.82,415.97,39845
22/06/2020,Russia,1973.55,1992.56,65064
22/06/2020,Mexico,1924.79,1559.95,77953
22/06/2020,Mexico,5970.17,1328.95,90060
23/06/2020,Indonesia,1305.1,2777.89,45788
23/06/2020,Russia,726.43,1422.79,66004
24/06/2020,Germany,1094.13,352.99,35756
24/06/2020,USA,3805.41,926.88,81047
24/06/2020,Nigeria,3979.41,2107.95,31389
25/06/2020,India,1123.18,347.13,24300
26/06/2020,USA,5829.61,291.08,60376
26/06/2020,Russia,2125.25,419.55,49770
27/06/2020,Mexico,671.24,2847.26,93444
28/06/2020,Russia,3822.94,822.32,8461
29/06/2020,USA,981.44,1472.9,71882
29/06/2020,Indonesia,1275.06,737.11,77276
02/07/2020,Russia,3062.47,653.72,29334
03/07/2020,India,2030.49,2431.82,40620
03/07/2020,China,1330.96,1433.58,57458
03/07/2020,Philippines,1598.04,459.57,60668
03/07/2020,Philippines,2161.15,1361.29,98910
04/07/2020,Indonesia,1434.24,665.87,91997
05/07/2020,India,3504.81,943.14,52241
05/07/2020,Nigeria,2604.79,4571.61,53897
05/07/2020,Germany,1020.12,1060.78,27846
05/07/2020,Brazil,1615.69,1515.54,71712
06/07/2020,Germany,1271.79,967.07,52558
06/07/2020,Germany,958.61,2914.67,14255
06/07/2020,Germany,784.4,813.56,57539
06/07/2020,Russia,5513.26,836.7,8263
08/07/2020,USA,2178.49,267.06,3974
08/07/2020,Russia,3430.52,1007.87,96148
08/07/2020,China,1033.49,1354.93,75158
09/07/2020,India,515.19,2664.03,59571
09/07/2020,China,463,908.98,98387
09/07/2020,India,944.67,1097,28691
10/07/2020,China,1814.01,1354.73,29117
10/07/2020,Indonesia,2837.07,6497.89,58153
10/07/2020,Philippines,4158.65,1090.93,62251
10/07/2020,Indonesia,3274.55,2603.39,99172
10/07/2020,Brazil,1953.7,2026.21,71034
12/07/2020,Germany,1532.27,295.31,29610
12/07/2020,Brazil,2295.24,1604.91,14456
13/07/2020,Indonesia,608.51,437.63,92801
14/07/2020,India,2404.17,627.13,57248
16/07/2020,Mexico,154.36,1785.81,33826
17/07/2020,Nigeria,1620.84,596.05,97439
17/07/2020,Indonesia,655.59,222.27,38928
17/07/2020,Brazil,368.47,675.55,39666
17/07/2020,Mexico,1197.24,2606.17,85831
17/07/2020,Mexico,2726.42,2794.51,23774
18/07/2020,Nigeria,1308.95,2341.26,88989
19/07/2020,Nigeria,1376.83,1572.85,56836
20/07/2020,Germany,2101.65,1418.6,72245
20/07/2020,Brazil,407.5,885.07,5416
21/07/2020,India,999.71,2847.4,67717
21/07/2020,Philippines,163.58,543.28,50036
22/07/2020,Philippines,1449.75,339.78,5063
22/07/2020,Indonesia,4341.12,317.33,64883
22/07/2020,Nigeria,2228.5,2757.06,84241
23/07/2020,Russia,167.2,1634.3,4928
23/07/2020,Indonesia,2547.8,786.19,12687
24/07/2020,China,2283.01,983.45,32032
24/07/2020,India,1345.58,2635.24,21911
24/07/2020,China,1180.34,1014.07,56627
24/07/2020,Russia,795.94,1012.01,96578
24/07/2020,Mexico,644.98,904.41,30781
25/07/2020,Indonesia,2087.06,2329.21,68332
25/07/2020,Indonesia,397.83,1274,13004
26/07/2020,Brazil,771.66,175.29,65761
27/07/2020,Nigeria,801.05,1022.4,18890
28/07/2020,Brazil,2469.81,907.06,40820
28/07/2020,Nigeria,4102.26,3318.73,64279
29/07/2020,China,4228.52,54.34,1820
29/07/2020,Brazil,2059.79,1093.1,76798
29/07/2020,Germany,5552.48,2709.86,33326
29/07/2020,Mexico,5960.63,1960.44,76766
29/07/2020,Indonesia,4519.99,409.06,2165
30/07/2020,Brazil,1011.59,2501.84,70885
31/07/2020,USA,1818.53,2606.1,46577
31/07/2020,India,1585.17,481.93,2131
31/07/2020,India,2421.56,112.45,57268
02/08/2020,Philippines,4145.24,1744.03,89970
04/08/2020,Indonesia,2208.76,775.99,88486
04/08/2020,Russia,3107.14,468.43,93456
05/08/2020,Indonesia,3118.69,935.54,84365
05/08/2020,Russia,277.53,989.3,88587
06/08/2020,Indonesia,6077.82,1865.01,66977
06/08/2020,India,659.66,430.98,94004
07/08/2020,Indonesia,1897.13,694.71,52496
07/08/2020,Russia,536.13,750.89,40996
08/08/2020,Mexico,2675.8,141.29,2018
09/08/2020,Germany,1033.09,1264.38,36651
09/08/2020,Philippines,700.68,2691.09,89601
09/08/2020,China,2269.96,4903.46,94198
09/08/2020,Russia,1414.78,1066.75,68817
09/08/2020,Russia,4382.42,125.9,20663
10/08/2020,Indonesia,2009.8,3269.87,83538
11/08/2020,Brazil,963.54,573.69,9416
11/08/2020,Mexico,4585.91,2580.45,15319
11/08/2020,India,2410.66,480.39,1210
12/08/2020,Russia,2706.98,643.24,86999
12/08/2020,India,1951.98,1296.37,77556
13/08/2020,Mexico,2605.65,4488.68,57273
13/08/2020,Mexico,1391.99,440.72,33429
15/08/2020,Nigeria,1974.72,3706.08,36599
15/08/2020,Nigeria,2096.17,524.06,87121
15/08/2020,USA,809.81,1486.03,88235
16/08/2020,India,1494.46,881.7,50694
16/08/2020,Mexico,693.54,1419.52,21011
17/08/2020,Nigeria,2911.84,838.75,19557
17/08/2020,Mexico,2991.7,336.15,1810
17/08/2020,Brazil,1848.38,1785,21726
18/08/2020,USA,4090.21,1745.98,20578
19/08/2020,Philippines,5878.82,289.14,93869
20/08/2020,Indonesia,2029.13,1039.46,37857
20/08/2020,Philippines,1671.44,1290.6,5652
20/08/2020,Philippines,1535.56,1313.79,41555
21/08/2020,Philippines,3543.37,2055.49,58487
21/08/2020,Germany,1072.44,1195.01,92477
21/08/2020,Philippines,1077.15,509.47,84187
22/08/2020,Philippines,2880.07,1303.36,79451
22/08/2020,Nigeria,330.91,639.72,55654
22/08/2020,Brazil,1238.13,1319.89,11535
22/08/2020,Philippines,3013.18,723.74,52420
23/08/2020,Germany,583.24,1355.98,20152
23/08/2020,Nigeria,467.01,563.18,39693
23/08/2020,Nigeria,1134.05,2295.47,3635
23/08/2020,Indonesia,1545.01,371.5,78686
24/08/2020,Mexico,290.25,650.31,25202
24/08/2020,China,2189.37,261.77,69187
24/08/2020,China,2202.61,773.1,72097
25/08/2020,India,2788.95,1545.91,42329
25/08/2020,USA,1381.75,3939.54,39648
26/08/2020,Nigeria,1671.03,2546.6,52520
26/08/2020,Mexico,3378.83,678.15,98661
28/08/2020,India,2223.28,1436.83,51861
28/08/2020,Indonesia,3943.92,324.32,58811
29/08/2020,Brazil,2053.82,275.63,75993
30/08/2020,Russia,633.28,1571.73,55593
30/08/2020,Nigeria,1490.55,2946.68,35227
30/08/2020,Germany,1808.89,413.73,50800
31/08/2020,Nigeria,1405.3,205.02,2986
01/09/2020,Philippines,5443.43,643.53,55101
02/09/2020,Brazil,2054.86,1094.16,65569
02/09/2020,India,571.74,1147.93,82470
04/09/2020,China,477.24,2977.65,6671
04/09/2020,Nigeria,3042.62,1913.76,61976
04/09/2020,Russia,2082.87,1140.34,74535
05/09/2020,Brazil,3540.05,353.18,76571
05/09/2020,Indonesia,2360.38,594.73,81104
05/09/2020,Indonesia,886.3,1969.02,80445
06/09/2020,Philippines,10337.93,505.23,91548
06/09/2020,Nigeria,1380.28,389.17,35164
07/09/2020,Russia,2234.98,1284.77,93380
07/09/2020,USA,1033.94,565.73,47352
07/09/2020,Indonesia,97.08,1148.36,9946
08/09/2020,Mexico,216.46,1096.33,48599
10/09/2020,Germany,9108.81,1174.85,19433
11/09/2020,Russia,309.87,1686.75,7246
11/09/2020,Mexico,1466,1217.36,25986
11/09/2020,Nigeria,1064.08,1089.25,49947
12/09/2020,Philippines,2128.13,542.34,71687
12/09/2020,Philippines,1837.58,1331.48,26226
12/09/2020,USA,3490.07,2705.96,47428
13/09/2020,China,2052.46,2764.72,30999
13/09/2020,Philippines,1567.7,750.24,44865
14/09/2020,Russia,900.57,808.84,59764
14/09/2020,India,717.67,1742.03,70171
15/09/2020,USA,1157.39,1322.47,51404
15/09/2020,Germany,1635.63,1608.79,40688
15/09/2020,Nigeria,1246.49,2352.72,19222
15/09/2020,Philippines,857.14,650.61,99922
15/09/2020,Philippines,1690.03,2388.89,19045
16/09/2020,Indonesia,3004.49,806.25,55725
16/09/2020,Russia,5676.47,997.02,66041
17/09/2020,Philippines,1397.37,1507.43,30534
17/09/2020,China,1094.07,873.5,35128
18/09/2020,Philippines,1298.54,770.5,2662
18/09/2020,Germany,242.41,1790.96,63203
18/09/2020,Russia,468.05,1150.45,19840
19/09/2020,Russia,1406.02,1056.86,15590
19/09/2020,Philippines,3522.54,3417.9,55036
20/09/2020,Mexico,2206.03,4125.02,77814
21/09/2020,Brazil,4847.39,806.38,36753
21/09/2020,Philippines,828.49,205.3,76391
21/09/2020,USA,981.81,50.8,80444
22/09/2020,Nigeria,876.4,2115.56,35697
23/09/2020,China,668.53,914.68,1482
23/09/2020,Nigeria,1075.41,1786.56,62040
24/09/2020,Brazil,1621.9,268.43,19461
24/09/2020,India,2049.87,2262.73,99929
25/09/2020,Nigeria,3585.12,658.36,34592
25/09/2020,Brazil,4112.67,121.06,48409
25/09/2020,China,4778.69,374.26,3295
26/09/2020,Germany,1098.01,3265.1,10565
26/09/2020,Philippines,3509.12,2267.47,65769
27/09/2020,Philippines,1595.98,857.27,52695
27/09/2020,Philippines,1995.24,354.79,51413
27/09/2020,China,1164.62,330.07,61888
28/09/2020,Nigeria,592.7,3299.36,25482
29/09/2020,Germany,2872.86,1111.85,65458
30/09/2020,China,4789.81,2463.22,79025
30/09/2020,Mexico,787.44,976.41,86549
30/09/2020,Brazil,928.02,2637.54,12419
01/10/2020,Russia,5375.69,2019.67,33811
01/10/2020,Indonesia,577,1871.2,969
01/10/2020,USA,222.77,1547.06,79554
02/10/2020,Mexico,1868.33,626.41,22094
03/10/2020,Brazil,2206.59,992.07,24177
04/10/2020,Russia,1634.57,2460.07,65139
04/10/2020,Germany,603.84,1469.41,50038
04/10/2020,China,3997.1,1661.22,4351
04/10/2020,Brazil,487.77,647.94,342
06/10/2020,Brazil,2201.37,4797.5,17523
07/10/2020,Brazil,3417.33,896.54,82499
07/10/2020,Russia,1051.75,1041.3,21648
08/10/2020,Germany,4831.82,101.16,13992
08/10/2020,Indonesia,1733.64,673.69,34494
08/10/2020,Philippines,1489.81,1962.29,81309
08/10/2020,Germany,578.49,1269.59,17177
08/10/2020,Mexico,204.2,4338.35,56337
08/10/2020,Germany,556.34,720.8,73556
09/10/2020,Mexico,2730.54,1607.87,19716
10/10/2020,USA,6796.53,1602.33,807
10/10/2020,Indonesia,2302.44,1271.2,76677
10/10/2020,China,2574.56,2082.75,17563
11/10/2020,Mexico,1762.53,644.19,40017
11/10/2020,Philippines,3465.58,331.53,68009
12/10/2020,India,1131.08,1874.5,88281
12/10/2020,Mexico,1742.95,333.74,8427
13/10/2020,Germany,670.49,675.06,20957
13/10/2020,Indonesia,2191.75,1194.88,81803
13/10/2020,Indonesia,866.31,1424.77,50402
14/10/2020,Philippines,654.2,636.21,45920
14/10/2020,China,2098.33,242.19,57508
15/10/2020,China,859.91,796.97,89356
15/10/2020,India,999,2246.2,12093
16/10/2020,Mexico,6658.34,1321.66,77908
17/10/2020,Brazil,2136.38,2685.49,13504
18/10/2020,China,3257.65,529.55,94337
19/10/2020,USA,766.2,1027.91,92946
19/10/2020,Germany,169.53,624.31,38120
20/10/2020,USA,1286.02,606.27,74497
20/10/2020,India,1790.14,655.48,55805
20/10/2020,Nigeria,1963.96,1657.7,54063
21/10/2020,Mexico,1907.86,615.18,56731
21/10/2020,Brazil,177.78,3165.23,57837
22/10/2020,Brazil,2279.16,1093.67,7058
22/10/2020,Russia,1447.37,1680.24,99071
22/10/2020,Indonesia,1696.79,388.92,98351
23/10/2020,Brazil,4332.92,866.09,15531
23/10/2020,China,2588.99,1108.35,36307
25/10/2020,Germany,579.99,56.34,42425
26/10/2020,Nigeria,3334.92,3364.34,21269
26/10/2020,Germany,513.08,479,64706
26/10/2020,Germany,2213.5,1211.87,79172
28/10/2020,Mexico,1241.18,351.69,30140
28/10/2020,Mexico,448.33,1377.7,606
29/10/2020,Brazil,2802.7,3670.42,7574
29/10/2020,Brazil,1306.35,830.67,5762
29/10/2020,Russia,180.82,905.91,91904
29/10/2020,Mexico,945.19,239.63,13144
30/10/2020,Nigeria,1085.28,1098.96,68822
30/10/2020,Germany,545.93,834.49,43619
31/10/2020,Russia,2776.4,1059.29,26713
01/11/2020,Russia,1949.43,3203.04,26057
01/11/2020,India,2187.22,141.81,46868
01/11/2020,India,1881.68,2643.74,94608
